term,coef,se_robust,p_value,stars,display
Intercept,-3.5041414214731503e-16,0.01202337532629758,0.9999999999999768,,-0.000 (0.012)
zongzu3,0.08955143648381485,0.012293095114302785,3.5937991435084104e-13,***,0.090*** (0.012)
male,0.032016327734835,0.012056913737072694,0.007939433358911962,**,0.032** (0.012)
age,-0.00797856895046546,0.013406577042127476,0.551781052083363,,-0.008 (0.013)
NYLL,0.07857163747025708,0.013600631279489253,7.943252016761971e-09,***,0.079*** (0.014)
town,0.0770958149376741,0.012519689046916525,7.79544173345928e-10,***,0.077*** (0.013)
education_ord,0.035827423097058476,0.013381293148614179,0.007437129317469964,**,0.036** (0.013)
PCMHI_ord,0.03328678914369472,0.012721652291137258,0.008902405850514597,**,0.033** (0.013)
SES,0.06268654812016142,0.013066363167712402,1.6409750956169477e-06,***,0.063*** (0.013)
N,,,,,6700
R2,,,,,0.034
Adj_R2,,,,,0.033
