Path,Effect Type,Effect,SE,t,p,95% CI Lower,95% CI Upper
Distance -> Lineage -> FS,Direct effect,0.24214083303060616,0.04473116056804849,5.413247274508849,8.167285513626887e-08,0.1544677583172311,0.3298139077439812
Distance -> Lineage -> FS,Indirect effect,0.02414753723233158,0.014408078628394615,,,0.004925436590108765,0.05844718247790527
Distance -> fr -> FS,Direct effect,0.20380333940079975,0.04231624127861442,4.8161966479711165,1.7473859842463335e-06,0.12086350649471549,0.286743172306884
Distance -> fr -> FS,Indirect effect,0.09699106185477499,0.02616514762316738,,,0.052640285399101094,0.1537155848566561
Distance -> sex_ratio -> FS,Direct effect,0.21078646504972648,0.04378325039460531,4.814317419332079,1.7634436632728738e-06,0.12497129427630008,0.2966016358231529
Distance -> sex_ratio -> FS,Indirect effect,0.035532931326933886,0.01644369800121614,,,0.010759353399414678,0.0721930128281176
Distance -> Lineage -> P_tgf,Direct effect,0.3447317340023892,0.04656493789460216,7.4032469404914805,3.348624744159748e-13,0.253464455728969,0.43599901227580945
Distance -> Lineage -> P_tgf,Indirect effect,-0.003576589539328895,0.0066122844635049475,,,-0.017720332561480295,0.009072649756251053
Distance -> fr -> P_tgf,Direct effect,0.34446758919949483,0.046770067866022044,7.365129128874899,4.379108379551744e-13,0.2527982561820916,0.43613692221689804
Distance -> fr -> P_tgf,Indirect effect,-0.0009096703442798297,0.01452790511756131,,,-0.028438907546546825,0.02864070492110625
Distance -> sex_ratio -> P_tgf,Direct effect,0.3397166400645434,0.04666469522041622,7.279949830593008,7.942092201418328e-13,0.2482538374325276,0.43117944269655917
Distance -> sex_ratio -> P_tgf,Indirect effect,0.005070505844484749,0.007136125649277485,,,-0.006523320303833327,0.021495683787755255
Distance -> sex_ratio -> P_ila,Direct effect,-0.08934058974338971,0.044250055654805324,-2.0189938390210314,0.04381767288782727,-0.17607069882680815,-0.0026104806599712704
Distance -> sex_ratio -> P_ila,Indirect effect,-0.01752414008889143,0.0075028749891892215,,,-0.03420282852006266,-0.005185152715246119
Distance -> Lineage -> dr,Direct effect,0.3107289687070692,0.03495180800644103,8.890211592195948,3.924582641208056e-18,0.24222342501444477,0.3792345123996936
Distance -> Lineage -> dr,Indirect effect,-0.0036838602866109543,0.004281625341503423,,,-0.012676116485961958,0.004257176859265395
Distance -> fr -> dr,Direct effect,0.32613906414071725,0.03456081297731158,9.436672232068743,3.9908324819913136e-20,0.25839987070518655,0.39387825757624795
Distance -> fr -> dr,Indirect effect,-0.031310102957368406,0.00799940739625689,,,-0.04852307334150427,-0.017389412253281358
Distance -> sex_ratio -> dr,Direct effect,0.32849617937801034,0.033939170188532326,9.678969095390718,4.873265574065922e-21,0.261975405808487,0.3950169529475337
Distance -> sex_ratio -> dr,Indirect effect,-0.021918829658438835,0.006617562340667916,,,-0.03615299916421404,-0.010076142788357514
