Variable 1,Operator,Variable 2,Estimated,SE,z,p
Collectivism,~,Chinese clan system,0.9293930902015088,0.10379295904590904,8.954298044258197,0.0
Collectivism,~,Distance,-0.08389857343278981,0.023169029832144913,-3.6211517718694917,0.00029329438523006957
Collectivism,~,Population density,0.0658133678885455,0.016564558072344086,3.973143599553874,7.093025753923676e-05
Collectivism,~,Rice planting ratio,0.007861913892351172,0.02886100590493457,0.27240609415954414,0.7853097873627433
Collectivism,~,Longitude,-0.016492007205831147,0.026377529199112376,-0.6252294170812969,0.5318204974299006
Collectivism,~,Latitude,-0.011090517104566504,0.05193017995545935,-0.21356592859615167,0.8308855714025294
Collectivism,~,GDP,0.07092988600479629,0.017037359770725825,4.163197053718807,3.138223102250315e-05
Collectivism,~,PNAP,0.0983409377874996,0.02183242057193503,4.504353397690122,6.657533823783979e-06
Collectivism,~,Climate demand,0.08294261533903662,0.03558025993115382,2.3311413547061113,0.019745907284659303
Individualism,~,Chinese clan system,-0.8802246255102286,0.10079411007757011,-8.732897436408575,0.0
Individualism,~,Distance,0.41582587969824764,0.04143425708835632,10.035799092559705,0.0
Individualism,~,Population density,-0.11905642765053542,0.02958277667804928,-4.024518352087347,5.709204205617269e-05
Individualism,~,Rice planting ratio,-0.08784925729685579,0.05188533694459463,-1.6931422723335463,0.09042838960903854
Individualism,~,Longitude,0.1777012806973128,0.0563899289055058,3.1512946397208723,0.0016254842445870832
Individualism,~,Latitude,-0.2228817289550379,0.10598582912022723,-2.1029389570572157,0.03547110586225388
Individualism,~,GDP,-0.18009385817961593,0.02979913284530021,-6.043593922967996,1.5071857095705354e-09
Individualism,~,PNAP,0.27626243530211825,0.03663044771069825,7.5418798447798245,4.6407322429331543e-14
Individualism,~,Climate demand,0.48090962170669105,0.06753624825624066,7.120763058601378,1.0733636202076013e-12
Chinese clan system,~,Distance,0.12464355525203405,0.018790885530131255,6.633192195521305,3.285038907563376e-11
P_TGF,~=,Collectivism,1.0,-,-,-
FS,~=,Collectivism,2.813974671575276,0.36268621478800644,7.75870313464302,8.659739592076221e-15
DR,~=,Individualism,1.0,-,-,-
Surname concentration,~=,Chinese clan system,1.0,-,-,-
Sex ratio of newborn,~=,Chinese clan system,1.0412150337285648,0.10240622569406772,10.167497402247427,0.0
Fertility rate,~=,Chinese clan system,1.783846522455348,0.1366439657733154,13.054703969889118,0.0
Distance,~~,Rice planting ratio,0.6014882411347923,0.01675940169281088,35.88960108026514,0.0
Distance,~~,Climate demand,-0.5372271701390722,0.014692316148745554,-36.56517901354689,0.0
Distance,~~,Longitude,-0.07676358416326076,0.024163157672019056,-3.176885455205887,0.0014886581954030031
Distance,~~,Latitude,-0.49071242053324143,0.017028709809853323,-28.81677038271471,0.0
Climate demand,~~,Rice planting ratio,-0.6455962911975958,0.014387168120358274,-44.8730622838267,0.0
Climate demand,~~,Longitude,0.1778850345856957,0.013759884298401963,12.927800170051357,0.0
Climate demand,~~,Latitude,0.8099678002854308,0.007468978698226591,108.44425093477673,0.0
Rice planting ratio,~~,Longitude,-0.12125829958070979,0.018453626945950912,-6.5709738215308,4.998734759453782e-11
Rice planting ratio,~~,Latitude,-0.7127174377156675,0.011417603735564314,-62.42268116498254,0.0
Rice planting ratio,~~,PNAP,0.010630238496972928,0.0163046904531667,0.651974260220092,0.5144177773785064
Longitude,~~,GDP,0.06805633654021327,0.031110359262791806,2.1875779692271675,0.028700358056477526
Latitude,~~,GDP,-0.001563517547355614,0.01701664802443879,-0.09188164114449898,0.9267920779964636
GDP,~~,PNAP,0.24971940201937995,0.02590556138290547,9.63960588688593,0.0
GDP,~~,Population density,0.1743259309740673,0.029851456845488303,5.839779675428968,5.226990174023172e-09
Population density,~~,PNAP,-0.26043202488131406,0.026466299458556528,-9.840137465356024,0.0
Collectivism,~~,Individualism,0.045751359915819835,0.007568915003935218,6.0446391439180145,1.4974477213769433e-09
Collectivism,~~,Collectivism,0.004875902110459546,0.00948750276723833,0.5139289262484104,0.6073016828183966
PNAP,~~,Chinese clan system,-0.19648552912595096,0.020810814068815294,-9.44151095996481,0.0
Chinese clan system,~~,Climate demand,-0.05161753166545593,0.008092224379309834,-6.3786579856896655,1.786464309816438e-10
Chinese clan system,~~,Rice planting ratio,-0.07079948922570059,0.011147494222628283,-6.3511572919799,2.1370105685036833e-10
Chinese clan system,~~,GDP,-0.18266393309179485,0.02139887563651387,-8.536146299741608,0.0
Chinese clan system,~~,Population density,-0.047117049576066855,0.016417325808763712,-2.869958854568471,0.004105252144779303
Chinese clan system,~~,Chinese clan system,0.15687190258297137,0.021788553729820425,7.19973911628069,6.032951915813101e-13
Individualism,~~,Individualism,0.05664343092287328,0.01189597554262201,4.761562489361579,1.9209979487122553e-06
Surname concentration,~~,Sex ratio of newborn,0.12718393160014388,0.0306188681520469,4.153776389264988,3.27032770806035e-05
Surname concentration,~~,Fertility rate,0.14373866553690964,0.027745135352104922,5.180679917671551,2.2107857189368474e-07
Surname concentration,~~,Surname concentration,0.8281964168159416,0.0420216723694086,19.70879239444912,0.0
Sex ratio of newborn,~~,Fertility rate,0.18147647336442135,0.02840126457452503,6.389732150194814,1.6617662801365896e-10
Sex ratio of newborn,~~,Sex ratio of newborn,0.8136335270785039,0.04153826399654873,19.58756695095679,0.0
FS,~~,P_TGF,0.5183838731232453,0.027148691755947075,19.094248730810246,0.0
FS,~~,FS,0.31525688443178285,0.014497255759786611,21.74596969479672,0.0
P_TGF,~~,P_TGF,0.913544506745993,0.045091772644340035,20.259671624162735,0.0
DR,~~,DR,0.33855900711298587,0.011895975542633969,28.459961595513104,0.0
Fertility rate,~~,Fertility rate,0.453089336786227,0.037982668957350106,11.928844107375975,0.0
